fe_polemwardur2vcv1	fe_polemwardur2vcv2	fe_polemwardur2vcv3	fe_polemwardur2vcv4	fe_polemwardur2vcv5	fe_polemwardur2vcv6	fe_polemwardur2vcv7	fe_polemwardur2vcv8	fe_polemwardur2vcv9
1.20e-07	-1.70e-07	1.94e-08	9.07e-09	-2.68e-08	4.08e-08	1.57e-09	-4.82e-07	-3.21e-06
-1.70e-07	.000137	-2.02e-06	-1.42e-06	1.60e-06	1.34e-06	-6.31e-07	-.0000142	.0011704
1.94e-08	-2.02e-06	7.32e-07	7.27e-08	-9.18e-08	-8.21e-08	2.43e-08	-6.11e-07	-.0000461
9.07e-09	-1.42e-06	7.27e-08	5.38e-08	1.04e-08	-1.18e-08	7.70e-09	-4.78e-07	-.0000142
-2.68e-08	1.60e-06	-9.18e-08	1.04e-08	1.12e-06	1.02e-07	-1.45e-08	-7.03e-07	.0000271
4.08e-08	1.34e-06	-8.21e-08	-1.18e-08	1.02e-07	3.25e-07	-3.02e-08	4.39e-07	.0000559
1.57e-09	-6.31e-07	2.43e-08	7.70e-09	-1.45e-08	-3.02e-08	7.77e-09	-3.36e-07	-.0000146
-4.82e-07	-.0000142	-6.11e-07	-4.78e-07	-7.03e-07	4.39e-07	-3.36e-07	.0000738	.0006385
-3.21e-06	.0011704	-.0000461	-.0000142	.0000271	.0000559	-.0000146	.0006385	.0275453
								
								
								
								
								
								
								
								
								
								
								
