fe_interact2vcv1	fe_interact2vcv2	fe_interact2vcv3	fe_interact2vcv4	fe_interact2vcv5	fe_interact2vcv6	fe_interact2vcv7	fe_interact2vcv8	fe_interact2vcv9	fe_interact2vcv10	fe_interact2vcv11
.0000136	5.10e-06	6.99e-06	-4.11e-06	1.41e-07	-2.78e-08	-9.34e-07	2.16e-07	3.05e-09	5.40e-06	-8.67e-06
5.10e-06	.0000109	5.86e-06	1.90e-06	1.68e-07	2.12e-08	-6.04e-07	1.46e-07	2.13e-09	-1.27e-06	-6.98e-06
6.99e-06	5.86e-06	.0000162	1.12e-06	-4.57e-08	-7.12e-09	-7.26e-07	2.16e-07	-2.48e-08	1.72e-06	.0000448
-4.11e-06	1.90e-06	1.12e-06	.0001358	-1.95e-06	-1.42e-06	1.00e-06	1.33e-06	-6.26e-07	-.0000138	.0011601
1.41e-07	1.68e-07	-4.57e-08	-1.95e-06	7.24e-07	7.00e-08	-9.16e-08	-7.66e-08	2.34e-08	-5.39e-07	-.0000444
-2.78e-08	2.12e-08	-7.12e-09	-1.42e-06	7.00e-08	5.44e-08	1.64e-08	-1.19e-08	7.64e-09	-4.86e-07	-.0000141
-9.34e-07	-6.04e-07	-7.26e-07	1.00e-06	-9.16e-08	1.64e-08	1.09e-06	1.15e-07	-1.37e-08	-5.98e-07	.0000257
2.16e-07	1.46e-07	2.16e-07	1.33e-06	-7.66e-08	-1.19e-08	1.15e-07	3.32e-07	-3.05e-08	4.48e-07	.0000566
3.05e-09	2.13e-09	-2.48e-08	-6.26e-07	2.34e-08	7.64e-09	-1.37e-08	-3.05e-08	7.76e-09	-3.37e-07	-.0000146
5.40e-06	-1.27e-06	1.72e-06	-.0000138	-5.39e-07	-4.86e-07	-5.98e-07	4.48e-07	-3.37e-07	.000074	.0006384
-8.67e-06	-6.98e-06	.0000448	.0011601	-.0000444	-.0000141	.0000257	.0000566	-.0000146	.0006384	.0275179
										
										
										
										
										
										
										
										
										
