f4polvcv1	f4polvcv2	f4polvcv3	f4polvcv4	f4polvcv5	f4polvcv6	f4polvcv7	f4polvcv8	f4polvcv9	f4polvcv10	f4polvcv11	f4polvcv12	f4polvcv13	f4polvcv14	f4polvcv15	f4polvcv16	f4polvcv17	f4polvcv18	f4polvcv19
1.06e-06	-9.27e-09	1.55e-07	-3.80e-08	1.02e-08	.0000133	-.0000208	9.01e-06	-.0000156	-.0000296	.0000108	-6.68e-06	6.39e-07	-6.46e-06	-4.90e-06	-8.64e-09	.0000802	-.000146	.0000483
-9.27e-09	3.20e-08	2.87e-08	-2.79e-08	-1.09e-09	-1.02e-08	2.31e-06	-1.08e-06	9.02e-07	2.89e-07	-2.83e-07	-9.19e-08	-5.24e-07	-3.32e-07	2.61e-07	-1.87e-08	.0000343	-9.58e-08	-3.11e-07
1.55e-07	2.87e-08	2.70e-06	-1.99e-08	2.95e-09	6.69e-06	-6.36e-06	4.14e-06	-4.77e-06	-.0000203	2.00e-06	-3.43e-06	-1.06e-07	-.0000448	-6.46e-08	-2.70e-07	.0005372	-.0000839	.0000275
-3.80e-08	-2.79e-08	-1.99e-08	1.47e-07	-6.01e-09	-1.71e-06	.0000109	3.31e-06	1.30e-06	7.95e-06	-1.15e-06	7.73e-07	3.44e-08	1.98e-06	-2.49e-06	2.14e-07	-.0004083	.0000262	-5.41e-06
1.02e-08	-1.09e-09	2.95e-09	-6.01e-09	1.97e-09	3.73e-07	-3.85e-06	1.98e-07	-1.77e-07	-1.43e-06	3.39e-07	-1.11e-07	8.59e-08	-3.41e-07	-4.14e-08	-3.68e-08	.0000736	-4.28e-06	1.46e-06
.0000133	-1.02e-08	6.69e-06	-1.71e-06	3.73e-07	.0004701	-.0007609	.0001094	-.0003014	-.0012035	.0001591	-.0001631	.0000528	.0000641	-.0001666	-5.77e-06	.0137353	-.0055993	.0014954
-.0000208	2.31e-06	-6.36e-06	.0000109	-3.85e-06	-.0007609	.0075341	-.0004123	.0003666	.0028729	-.0006727	.000225	-.0001744	.0006379	.0001161	.000071	-.1425885	.0087444	-.0029519
9.01e-06	-1.08e-06	4.14e-06	3.31e-06	1.98e-07	.0001094	-.0004123	.0028778	-.0010312	-.0005875	.000106	-.0001555	.0000411	.0005498	-.0002286	-3.15e-06	.0071061	-.0006862	.0002818
-.0000156	9.02e-07	-4.77e-06	1.30e-06	-1.77e-07	-.0003014	.0003666	-.0010312	.0031641	.0014386	-.0004519	.0001059	-.0000152	-.0008097	-6.15e-06	-5.23e-06	.0086989	.0034288	-.0009587
-.0000296	2.89e-07	-.0000203	7.95e-06	-1.43e-06	-.0012035	.0028729	-.0005875	.0014386	.0079288	-.0007062	.0005221	-.0001518	-.0012413	.0003212	.0000227	-.0514692	.0156211	-.003916
.0000108	-2.83e-07	2.00e-06	-1.15e-06	3.39e-07	.0001591	-.0006727	.000106	-.0004519	-.0007062	.0025462	-.000221	.0000375	-.0005308	-.0001675	7.48e-06	-.0135337	-.001943	.0008126
-6.68e-06	-9.19e-08	-3.43e-06	7.73e-07	-1.11e-07	-.0001631	.000225	-.0001555	.0001059	.0005221	-.000221	.0003794	-.0000129	-.0001738	.0000722	4.12e-06	-.0087966	.0019627	-.0005701
6.39e-07	-5.24e-07	-1.06e-07	3.44e-08	8.59e-08	.0000528	-.0001744	.0000411	-.0000152	-.0001518	.0000375	-.0000129	.0000533	.0000466	-.0000468	-2.39e-06	.0051844	-.0006833	.0001587
-6.46e-06	-3.32e-07	-.0000448	1.98e-06	-3.41e-07	.0000641	.0006379	.0005498	-.0008097	-.0012413	-.0005308	-.0001738	.0000466	.0083657	-.0002277	9.32e-06	-.0158288	-.0014883	.0000241
-4.90e-06	2.61e-07	-6.46e-08	-2.49e-06	-4.14e-08	-.0001666	.0001161	-.0002286	-6.15e-06	.0003212	-.0001675	.0000722	-.0000468	-.0002277	.0002933	-6.92e-06	.0110168	.0019177	-.0005836
-8.64e-09	-1.87e-08	-2.70e-07	2.14e-07	-3.68e-08	-5.77e-06	.000071	-3.15e-06	-5.23e-06	.0000227	7.48e-06	4.12e-06	-2.39e-06	9.32e-06	-6.92e-06	2.70e-06	-.00525	.0000775	-3.57e-06
.0000802	.0000343	.0005372	-.0004083	.0000736	.0137353	-.1425885	.0071061	.0086989	-.0514692	-.0135337	-.0087966	.0051844	-.0158288	.0110168	-.00525	10.23178	-.1816044	.0153919
-.000146	-9.58e-08	-.0000839	.0000262	-4.28e-06	-.0055993	.0087444	-.0006862	.0034288	.0156211	-.001943	.0019627	-.0006833	-.0014883	.0019177	.0000775	-.1816044	.0710866	-.0167617
.0000483	-3.11e-07	.0000275	-5.41e-06	1.46e-06	.0014954	-.0029519	.0002818	-.0009587	-.003916	.0008126	-.0005701	.0001587	.0000241	-.0005836	-3.57e-06	.0153919	-.0167617	.0061173
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
