fe_polemwardur5vcv1	fe_polemwardur5vcv2	fe_polemwardur5vcv3	fe_polemwardur5vcv4	fe_polemwardur5vcv5	fe_polemwardur5vcv6	fe_polemwardur5vcv7	fe_polemwardur5vcv8	fe_polemwardur5vcv9
5.60e-07	-1.49e-07	1.63e-08	1.75e-08	-2.12e-07	1.87e-07	-1.83e-09	-1.44e-06	2.45e-06
-1.49e-07	.0004933	-1.93e-06	-4.99e-06	4.28e-06	3.82e-06	-2.18e-06	-.0000466	.0040318
1.63e-08	-1.93e-06	7.85e-07	9.93e-08	-2.76e-07	-1.51e-07	4.39e-08	-1.90e-06	-.0000836
1.75e-08	-4.99e-06	9.93e-08	1.80e-07	-2.32e-08	5.06e-09	2.11e-08	-1.33e-06	-.0000387
-2.12e-07	4.28e-06	-2.76e-07	-2.32e-08	3.94e-06	6.48e-07	-9.55e-08	3.34e-06	.0001793
1.87e-07	3.82e-06	-1.51e-07	5.06e-09	6.48e-07	1.29e-06	-1.19e-07	1.60e-06	.000221
-1.83e-09	-2.18e-06	4.39e-08	2.11e-08	-9.55e-08	-1.19e-07	3.02e-08	-1.28e-06	-.000057
-1.44e-06	-.0000466	-1.90e-06	-1.33e-06	3.34e-06	1.60e-06	-1.28e-06	.0002583	.002439
2.45e-06	.0040318	-.0000836	-.0000387	.0001793	.000221	-.000057	.002439	.1074341
								
								
								
								
								
								
								
								
								
								
								
