fe_polemintermed4vcv1	fe_polemintermed4vcv2	fe_polemintermed4vcv3	fe_polemintermed4vcv4	fe_polemintermed4vcv5	fe_polemintermed4vcv6	fe_polemintermed4vcv7	fe_polemintermed4vcv8	fe_polemintermed4vcv9	fe_polemintermed4vcv10	fe_polemintermed4vcv11	fe_polemintermed4vcv12	fe_polemintermed4vcv13	fe_polemintermed4vcv14
.0000164	-1.94e-06	-5.01e-06	-2.34e-06	1.24e-07	4.37e-08	6.22e-07	1.38e-07	7.88e-08	-1.01e-06	1.89e-08	-1.17e-08	-6.41e-06	-.0000141
-1.94e-06	.0003529	-.0000176	2.13e-06	-3.16e-07	-3.61e-08	-2.25e-07	-2.77e-06	-3.70e-06	4.04e-06	3.44e-06	-1.54e-06	-.0000333	.0028669
-5.01e-06	-.0000176	.0000233	.0000228	2.88e-08	-7.91e-08	2.05e-06	-3.80e-07	3.56e-07	1.25e-06	8.30e-07	6.99e-08	.0000122	-.0000793
-2.34e-06	2.13e-06	.0000228	.0000509	-4.94e-07	-1.38e-07	5.46e-06	4.26e-07	4.01e-07	1.46e-06	7.21e-07	1.29e-07	.0000116	-.0001644
1.24e-07	-3.16e-07	2.88e-08	-4.94e-07	6.86e-08	4.79e-09	4.49e-08	-3.33e-09	1.38e-09	6.26e-09	2.11e-09	-7.25e-09	6.69e-08	.0000101
4.37e-08	-3.61e-08	-7.91e-08	-1.38e-07	4.79e-09	6.60e-09	-5.83e-08	-1.30e-08	-2.71e-09	-4.97e-08	-6.42e-08	-8.27e-09	3.01e-07	.0000108
6.22e-07	-2.25e-07	2.05e-06	5.46e-06	4.49e-08	-5.83e-08	.0000249	6.96e-07	1.08e-07	1.03e-07	7.05e-07	1.05e-07	-2.38e-06	-.0001629
1.38e-07	-2.77e-06	-3.80e-07	4.26e-07	-3.33e-09	-1.30e-08	6.96e-07	8.88e-07	1.45e-07	-6.57e-08	-6.67e-09	5.84e-08	-1.86e-06	-.0001016
7.88e-08	-3.70e-06	3.56e-07	4.01e-07	1.38e-09	-2.71e-09	1.08e-07	1.45e-07	1.47e-07	-2.02e-08	-1.42e-08	2.47e-08	-1.47e-06	-.000044
-1.01e-06	4.04e-06	1.25e-06	1.46e-06	6.26e-09	-4.97e-08	1.03e-07	-6.57e-08	-2.02e-08	2.26e-06	7.50e-07	1.64e-08	-2.32e-06	4.82e-06
1.89e-08	3.44e-06	8.30e-07	7.21e-07	2.11e-09	-6.42e-08	7.05e-07	-6.67e-09	-1.42e-08	7.50e-07	1.52e-06	-3.77e-11	-2.19e-06	.0000445
-1.17e-08	-1.54e-06	6.99e-08	1.29e-07	-7.25e-09	-8.27e-09	1.05e-07	5.84e-08	2.47e-08	1.64e-08	-3.77e-11	3.09e-08	-1.27e-06	-.0000522
-6.41e-06	-.0000333	.0000122	.0000116	6.69e-08	3.01e-07	-2.38e-06	-1.86e-06	-1.47e-06	-2.32e-06	-2.19e-06	-1.27e-06	.0001973	.0021798
-.0000141	.0028669	-.0000793	-.0001644	.0000101	.0000108	-.0001629	-.0001016	-.000044	4.82e-06	.0000445	-.0000522	.0021798	.0904334
													
													
													
													
													
													
