fe_interact5vcv1	fe_interact5vcv2	fe_interact5vcv3	fe_interact5vcv4	fe_interact5vcv5	fe_interact5vcv6	fe_interact5vcv7	fe_interact5vcv8	fe_interact5vcv9	fe_interact5vcv10	fe_interact5vcv11
.0000231	.0000147	.0000169	8.53e-06	-6.37e-07	-2.85e-07	1.09e-06	9.86e-07	-8.90e-08	6.30e-06	.0001586
.0000147	.0000421	.0000194	2.91e-06	1.04e-07	6.80e-08	-1.62e-06	8.14e-07	2.81e-09	-9.12e-06	-.0000143
.0000169	.0000194	.000025	3.94e-06	-8.68e-07	-5.74e-08	7.71e-07	8.01e-07	-1.02e-07	1.60e-06	.0001882
8.53e-06	2.91e-06	3.94e-06	.0004876	-1.94e-06	-4.98e-06	3.29e-06	3.71e-06	-2.13e-06	-.00005	.00394
-6.37e-07	1.04e-07	-8.68e-07	-1.94e-06	7.78e-07	9.76e-08	-2.85e-07	-1.43e-07	4.27e-08	-1.82e-06	-.0000814
-2.85e-07	6.80e-08	-5.74e-08	-4.98e-06	9.76e-08	1.84e-07	-1.43e-08	8.26e-10	2.10e-08	-1.32e-06	-.0000385
1.09e-06	-1.62e-06	7.71e-07	3.29e-06	-2.85e-07	-1.43e-08	4.05e-06	6.98e-07	-9.40e-08	3.35e-06	.0001764
9.86e-07	8.14e-07	8.01e-07	3.71e-06	-1.43e-07	8.26e-10	6.98e-07	1.32e-06	-1.20e-07	1.68e-06	.000222
-8.90e-08	2.81e-09	-1.02e-07	-2.13e-06	4.27e-08	2.10e-08	-9.40e-08	-1.20e-07	2.99e-08	-1.27e-06	-.0000564
6.30e-06	-9.12e-06	1.60e-06	-.00005	-1.82e-06	-1.32e-06	3.35e-06	1.68e-06	-1.27e-06	.0002576	.0024145
.0001586	-.0000143	.0001882	.00394	-.0000814	-.0000385	.0001764	.000222	-.0000564	.0024145	.1064027
										
										
										
										
										
										
										
										
										
