fe_polembd0vcv1	fe_polembd0vcv2	fe_polembd0vcv3	fe_polembd0vcv4	fe_polembd0vcv5	fe_polembd0vcv6	fe_polembd0vcv7	fe_polembd0vcv8	fe_polembd0vcv9
7.58e-08	6.31e-08	-1.55e-09	4.76e-10	-3.80e-08	7.58e-10	-2.60e-09	-1.50e-07	5.03e-06
6.31e-08	.000048	-6.21e-07	-4.60e-07	2.94e-07	3.88e-07	-2.22e-07	-1.58e-06	.0004116
-1.55e-09	-6.21e-07	3.53e-07	2.79e-08	-5.09e-08	-1.24e-08	4.10e-10	4.22e-07	-4.19e-07
4.76e-10	-4.60e-07	2.79e-08	1.81e-08	1.64e-09	-1.15e-09	8.34e-10	-6.84e-09	-1.42e-06
-3.80e-08	2.94e-07	-5.09e-08	1.64e-09	5.57e-07	6.98e-08	-4.55e-09	2.57e-07	8.25e-06
7.58e-10	3.88e-07	-1.24e-08	-1.15e-09	6.98e-08	8.69e-08	-9.52e-09	-1.02e-07	.0000179
-2.60e-09	-2.22e-07	4.10e-10	8.34e-10	-4.55e-09	-9.52e-09	2.52e-09	1.16e-08	-4.79e-06
-1.50e-07	-1.58e-06	4.22e-07	-6.84e-09	2.57e-07	-1.02e-07	1.16e-08	.000018	-.0000212
5.03e-06	.0004116	-4.19e-07	-1.42e-06	8.25e-06	.0000179	-4.79e-06	-.0000212	.0091051
								
								
								
								
								
								
								
								
								
								
								
