fe_polembd10vcv1	fe_polembd10vcv2	fe_polembd10vcv3	fe_polembd10vcv4	fe_polembd10vcv5	fe_polembd10vcv6	fe_polembd10vcv7	fe_polembd10vcv8	fe_polembd10vcv9
1.57e-06	1.33e-06	9.47e-08	1.17e-07	4.54e-07	1.23e-06	-1.54e-07	1.75e-06	.0002919
1.33e-06	.0017172	-3.29e-06	-.0000169	.0000305	.0000171	-.0000122	.0000318	.0231387
9.47e-08	-3.29e-06	5.99e-07	2.78e-07	3.06e-07	2.23e-07	3.32e-10	8.52e-07	-1.28e-06
1.17e-07	-.0000169	2.78e-07	6.89e-07	8.49e-08	3.53e-07	-8.85e-09	6.48e-07	.0000227
4.54e-07	.0000305	3.06e-07	8.49e-08	8.71e-06	2.92e-06	-5.16e-07	-9.38e-07	.0009775
1.23e-06	.0000171	2.23e-07	3.53e-07	2.92e-06	7.10e-06	-8.04e-07	5.80e-06	.0015181
-1.54e-07	-.0000122	3.32e-10	-8.85e-09	-5.16e-07	-8.04e-07	2.29e-07	-9.62e-07	-.0004392
1.75e-06	.0000318	8.52e-07	6.48e-07	-9.38e-07	5.80e-06	-9.62e-07	.0001866	.0018331
.0002919	.0231387	-1.28e-06	.0000227	.0009775	.0015181	-.0004392	.0018331	.8432963
								
								
								
								
								
								
								
								
								
								
								
