fe_fertility3vcv1	fe_fertility3vcv2	fe_fertility3vcv3	fe_fertility3vcv4	fe_fertility3vcv5	fe_fertility3vcv6	fe_fertility3vcv7	fe_fertility3vcv8	fe_fertility3vcv9
.0004335	-.0000127	-7.65e-07	-4.08e-06	.0000197	.0000317	-2.07e-06	9.68e-06	.0038425
-.0000127	.0001006	2.65e-06	2.13e-06	-.000012	-.0000294	5.36e-06	.0000245	-.0108423
-7.65e-07	2.65e-06	2.83e-06	1.83e-06	-2.47e-07	1.29e-06	-2.94e-07	6.74e-07	.0005613
-4.08e-06	2.13e-06	1.83e-06	3.40e-06	-9.48e-08	-2.29e-07	-6.43e-07	-1.45e-06	.001269
.0000197	-.000012	-2.47e-07	-9.48e-08	.0000575	.0000437	-3.52e-06	.0000123	.0066677
.0000317	-.0000294	1.29e-06	-2.29e-07	.0000437	.0001041	-8.23e-06	-4.34e-06	.0155693
-2.07e-06	5.36e-06	-2.94e-07	-6.43e-07	-3.52e-06	-8.23e-06	1.23e-06	2.89e-06	-.0024012
9.68e-06	.0000245	6.74e-07	-1.45e-06	.0000123	-4.34e-06	2.89e-06	.0015258	-.0057553
.0038425	-.0108423	.0005613	.001269	.0066677	.0155693	-.0024012	-.0057553	4.681366
								
								
								
								
								
								
								
								
								
								
								
