fe_fertility0vcv1	fe_fertility0vcv2	fe_fertility0vcv3	fe_fertility0vcv4	fe_fertility0vcv5	fe_fertility0vcv6	fe_fertility0vcv7	fe_fertility0vcv8	fe_fertility0vcv9
.0000284	-6.51e-07	-5.67e-08	-1.89e-07	5.82e-07	1.89e-06	-1.67e-07	1.21e-06	.0003159
-6.51e-07	5.91e-06	1.92e-07	2.17e-07	-2.64e-07	-1.58e-06	2.83e-07	1.70e-06	-.0005749
-5.67e-08	1.92e-07	2.69e-07	1.54e-07	-5.82e-09	5.11e-08	-1.13e-08	1.55e-07	.0000211
-1.89e-07	2.17e-07	1.54e-07	2.29e-07	4.66e-08	-6.43e-08	-2.66e-08	-5.20e-08	.0000524
5.82e-07	-2.64e-07	-5.82e-09	4.66e-08	2.04e-06	1.18e-06	-1.30e-07	1.26e-06	.0002491
1.89e-06	-1.58e-06	5.11e-08	-6.43e-08	1.18e-06	4.69e-06	-3.91e-07	1.45e-06	.0007425
-1.67e-07	2.83e-07	-1.13e-08	-2.66e-08	-1.30e-07	-3.91e-07	6.10e-08	1.33e-07	-.000119
1.21e-06	1.70e-06	1.55e-07	-5.20e-08	1.26e-06	1.45e-06	1.33e-07	.0001378	-.0002791
.0003159	-.0005749	.0000211	.0000524	.0002491	.0007425	-.000119	-.0002791	.2323909
								
								
								
								
								
								
								
								
								
								
								
