fe_fertility2vcv1	fe_fertility2vcv2	fe_fertility2vcv3	fe_fertility2vcv4	fe_fertility2vcv5	fe_fertility2vcv6	fe_fertility2vcv7	fe_fertility2vcv8	fe_fertility2vcv9
.0002424	-6.25e-06	1.25e-07	-2.12e-06	9.44e-06	.0000189	-1.29e-06	8.84e-06	.0024099
-6.25e-06	.0000553	1.98e-06	1.46e-06	-1.93e-06	-.0000152	2.78e-06	.000014	-.005634
1.25e-07	1.98e-06	1.75e-06	1.07e-06	-2.34e-07	5.59e-07	-1.15e-07	3.38e-07	.0002143
-2.12e-06	1.46e-06	1.07e-06	1.95e-06	1.87e-07	-2.64e-07	-3.16e-07	-4.90e-07	.0006228
9.44e-06	-1.93e-06	-2.34e-07	1.87e-07	.0000174	.0000153	-1.49e-06	6.31e-06	.0028287
.0000189	-.0000152	5.59e-07	-2.64e-07	.0000153	.0000553	-4.37e-06	3.12e-06	.008254
-1.29e-06	2.78e-06	-1.15e-07	-3.16e-07	-1.49e-06	-4.37e-06	6.37e-07	1.33e-06	-.0012402
8.84e-06	.000014	3.38e-07	-4.90e-07	6.31e-06	3.12e-06	1.33e-06	.0009573	-.0026911
.0024099	-.005634	.0002143	.0006228	.0028287	.008254	-.0012402	-.0026911	2.416305
								
								
								
								
								
								
								
								
								
								
								
