fe_fertilityexist4vcv1	fe_fertilityexist4vcv2	fe_fertilityexist4vcv3	fe_fertilityexist4vcv4	fe_fertilityexist4vcv5	fe_fertilityexist4vcv6	fe_fertilityexist4vcv7	fe_fertilityexist4vcv8	fe_fertilityexist4vcv9
.0024145	-.0001348	-.0000283	-.0000169	.0000371	.0001617	-.0000102	-.0003485	.019412
-.0001348	.0001623	3.71e-06	3.41e-06	-.0000201	-.000049	8.97e-06	.0000474	-.0181046
-.0000283	3.71e-06	4.15e-06	2.77e-06	-1.18e-07	2.20e-06	-5.59e-07	-7.53e-07	.0010739
-.0000169	3.41e-06	2.77e-06	5.11e-06	3.74e-07	2.81e-08	-1.08e-06	-4.12e-06	.0021388
.0000371	-.0000201	-1.18e-07	3.74e-07	.0000921	.0000723	-6.04e-06	7.41e-06	.0114402
.0001617	-.000049	2.20e-06	2.81e-08	.0000723	.0001636	-.0000132	-.000021	.0250197
-.0000102	8.97e-06	-5.59e-07	-1.08e-06	-6.04e-06	-.0000132	2.05e-06	6.19e-06	-.0040024
-.0003485	.0000474	-7.53e-07	-4.12e-06	7.41e-06	-.000021	6.19e-06	.0023075	-.0122093
.019412	-.0181046	.0010739	.0021388	.0114402	.0250197	-.0040024	-.0122093	7.810627
								
								
								
								
								
								
								
								
								
								
								
