fe_polemwardur2vcv1	fe_polemwardur2vcv2	fe_polemwardur2vcv3	fe_polemwardur2vcv4	fe_polemwardur2vcv5	fe_polemwardur2vcv6	fe_polemwardur2vcv7	fe_polemwardur2vcv8	fe_polemwardur2vcv9
1.20e-07	-3.22e-07	1.64e-08	6.88e-09	-2.86e-08	4.50e-08	-2.57e-10	-1.71e-07	2.38e-07
-3.22e-07	.0001391	-2.43e-06	-1.60e-06	1.36e-06	1.65e-06	-7.44e-07	-1.37e-06	.0013852
1.64e-08	-2.43e-06	7.59e-07	7.22e-08	-1.00e-07	-7.26e-08	2.33e-08	1.08e-06	-.0000443
6.88e-09	-1.60e-06	7.22e-08	5.21e-08	7.20e-09	-7.71e-09	5.93e-09	-7.96e-08	-.0000109
-2.86e-08	1.36e-06	-1.00e-07	7.20e-09	1.21e-06	1.16e-07	-1.76e-08	5.82e-07	.000033
4.50e-08	1.65e-06	-7.26e-08	-7.71e-09	1.16e-07	3.37e-07	-3.01e-08	-1.33e-07	.0000557
-2.57e-10	-7.44e-07	2.33e-08	5.93e-09	-1.76e-08	-3.01e-08	6.71e-09	7.79e-08	-.0000126
-1.71e-07	-1.37e-06	1.08e-06	-7.96e-08	5.82e-07	-1.33e-07	7.79e-08	.0000741	-.0001521
2.38e-07	.0013852	-.0000443	-.0000109	.000033	.0000557	-.0000126	-.0001521	.0236953
								
								
								
								
								
								
								
								
								
								
								
