fe_polemintermed5vcv1	fe_polemintermed5vcv2	fe_polemintermed5vcv3	fe_polemintermed5vcv4	fe_polemintermed5vcv5	fe_polemintermed5vcv6	fe_polemintermed5vcv7	fe_polemintermed5vcv8	fe_polemintermed5vcv9	fe_polemintermed5vcv10	fe_polemintermed5vcv11	fe_polemintermed5vcv12	fe_polemintermed5vcv13	fe_polemintermed5vcv14
.0000232	-7.63e-06	-4.72e-06	-1.22e-06	1.28e-06	5.37e-07	4.04e-07	-3.61e-07	4.38e-08	-1.60e-06	3.01e-07	-6.28e-08	-1.28e-06	.0000744
-7.63e-06	.0005178	-.0000139	.0000137	-8.04e-06	1.28e-06	1.69e-06	-3.40e-06	-6.19e-06	4.47e-06	2.89e-06	-2.69e-06	.0000277	.0048984
-4.72e-06	-.0000139	.0000362	.0000376	-1.52e-06	-8.98e-07	1.13e-06	-3.16e-07	5.17e-07	2.36e-06	5.09e-07	1.41e-07	1.89e-06	-.0002108
-1.22e-06	.0000137	.0000376	.00007	-6.97e-06	-1.92e-06	4.92e-06	4.28e-07	5.66e-07	3.69e-06	1.05e-06	2.09e-07	.0000156	-.000286
1.28e-06	-8.04e-06	-1.52e-06	-6.97e-06	7.31e-06	7.77e-07	1.24e-06	3.25e-08	7.97e-08	-3.26e-07	-2.67e-07	-8.16e-08	-1.34e-06	.0000982
5.37e-07	1.28e-06	-8.98e-07	-1.92e-06	7.77e-07	1.01e-06	-8.49e-07	-1.78e-07	-3.01e-08	-8.06e-07	-9.95e-07	-1.14e-07	-2.25e-07	.000141
4.04e-07	1.69e-06	1.13e-06	4.92e-06	1.24e-06	-8.49e-07	.0000285	9.43e-07	2.98e-07	5.85e-07	5.93e-07	1.39e-07	2.22e-06	-.000206
-3.61e-07	-3.40e-06	-3.16e-07	4.28e-07	3.25e-08	-1.78e-07	9.43e-07	8.62e-07	1.32e-07	-1.79e-07	6.01e-08	5.88e-08	1.16e-06	-.000099
4.38e-08	-6.19e-06	5.17e-07	5.66e-07	7.97e-08	-3.01e-08	2.98e-07	1.32e-07	2.07e-07	3.63e-09	-5.35e-09	2.49e-08	-2.06e-07	-.0000437
-1.60e-06	4.47e-06	2.36e-06	3.69e-06	-3.26e-07	-8.06e-07	5.85e-07	-1.79e-07	3.63e-09	5.05e-06	1.24e-06	1.25e-08	1.19e-07	.0000342
3.01e-07	2.89e-06	5.09e-07	1.05e-06	-2.67e-07	-9.95e-07	5.93e-07	6.01e-08	-5.35e-09	1.24e-06	2.22e-06	5.09e-09	-2.16e-07	.00006
-6.28e-08	-2.69e-06	1.41e-07	2.09e-07	-8.16e-08	-1.14e-07	1.39e-07	5.88e-08	2.49e-08	1.25e-08	5.09e-09	3.69e-08	-2.40e-08	-.0000611
-1.28e-06	.0000277	1.89e-06	.0000156	-1.34e-06	-2.25e-07	2.22e-06	1.16e-06	-2.06e-07	1.19e-07	-2.16e-07	-2.40e-08	.0000788	.000048
.0000744	.0048984	-.0002108	-.000286	.0000982	.000141	-.000206	-.000099	-.0000437	.0000342	.00006	-.0000611	.000048	.1047246
													
													
													
													
													
													
