f2polvcv1	f2polvcv2	f2polvcv3	f2polvcv4	f2polvcv5	f2polvcv6	f2polvcv7	f2polvcv8	f2polvcv9	f2polvcv10	f2polvcv11	f2polvcv12	f2polvcv13	f2polvcv14	f2polvcv15	f2polvcv16	f2polvcv17	f2polvcv18	f2polvcv19
7.81e-07	4.15e-09	5.95e-08	-2.86e-08	5.56e-09	6.73e-06	-.0000113	4.76e-06	-8.89e-06	-.0000177	5.39e-06	-5.44e-06	3.25e-08	-4.79e-06	-2.08e-06	4.30e-08	-.000056	-.0000951	.0000315
4.15e-09	1.18e-08	2.06e-08	-1.22e-08	4.65e-11	5.22e-07	-6.03e-08	-8.31e-07	4.23e-07	-1.71e-06	3.74e-07	-5.34e-07	-3.07e-07	-5.35e-07	3.70e-08	-2.38e-08	.000048	-8.09e-06	1.62e-06
5.95e-08	2.06e-08	1.58e-06	-1.64e-08	3.65e-09	5.85e-06	-7.76e-06	-9.23e-06	9.54e-06	-.0000217	2.37e-06	-9.28e-06	7.25e-09	-.0000296	-1.17e-06	-3.26e-07	.0006647	-.0000957	.0000256
-2.86e-08	-1.22e-08	-1.64e-08	6.81e-08	-3.77e-09	-2.49e-06	7.14e-06	3.77e-06	-6.99e-08	9.64e-06	-9.22e-07	2.35e-06	3.05e-08	1.65e-06	-1.27e-06	1.75e-07	-.0003445	.0000413	-7.85e-06
5.56e-09	4.65e-11	3.65e-09	-3.77e-09	8.09e-10	2.94e-07	-1.59e-06	-8.57e-08	-5.08e-08	-1.21e-06	2.54e-07	-2.45e-07	4.22e-08	-1.76e-07	-3.30e-08	-2.52e-08	.0000508	-4.51e-06	1.17e-06
6.73e-06	5.22e-07	5.85e-06	-2.49e-06	2.94e-07	.0003601	-.0005933	-.0001769	-.0000751	-.001218	.0001863	-.0003306	.0000265	-.0000286	-.0001137	-8.74e-06	.0192088	-.0056357	.0012459
-.0000113	-6.03e-08	-7.76e-06	7.14e-06	-1.59e-06	-.0005933	.0031219	.0001669	.0001047	.0024256	-.0005098	.0004952	-.0000858	.0003385	.0000854	.000049	-.0990312	.009103	-.0023629
4.76e-06	-8.31e-07	-9.23e-06	3.77e-06	-8.57e-08	-.0001769	.0001669	.0029384	-.0010264	.0002457	-.0001033	.0000157	5.54e-06	.0005599	-.0001025	-3.40e-06	.0057871	.0033105	-.0005794
-8.89e-06	4.23e-07	9.54e-06	-6.99e-08	-5.08e-08	-.0000751	.0001047	-.0010264	.0030606	.0009591	-.0002372	.0000413	.0000327	-.0011712	-.0001217	-1.13e-06	.0020911	.000677	-.0002148
-.0000177	-1.71e-06	-.0000217	9.64e-06	-1.21e-06	-.001218	.0024256	.0002457	.0009591	.008819	-.0009384	.0011694	-.0000727	-.0003189	.0002279	.0000395	-.0846672	.0194113	-.0044589
5.39e-06	3.74e-07	2.37e-06	-9.22e-07	2.54e-07	.0001863	-.0005098	-.0001033	-.0002372	-.0009384	.002405	-.0004509	8.28e-06	-.0004431	-.0001594	2.71e-06	-.003788	-.002892	.0009627
-5.44e-06	-5.34e-07	-9.28e-06	2.35e-06	-2.45e-07	-.0003306	.0004952	.0000157	.0000413	.0011694	-.0004509	.000651	-.0000122	-.0000434	.0001258	.0000106	-.0226976	.0053479	-.0010849
3.25e-08	-3.07e-07	7.25e-09	3.05e-08	4.22e-08	.0000265	-.0000858	5.54e-06	.0000327	-.0000727	8.28e-06	-.0000122	.000048	5.93e-06	-.0000366	-1.86e-06	.0040238	-.0004295	.0000954
-4.79e-06	-5.35e-07	-.0000296	1.65e-06	-1.76e-07	-.0000286	.0003385	.0005599	-.0011712	-.0003189	-.0004431	-.0000434	5.93e-06	.0052551	-.0000476	6.79e-07	-.0008079	.0004075	-.0004478
-2.08e-06	3.70e-08	-1.17e-06	-1.27e-06	-3.30e-08	-.0001137	.0000854	-.0001025	-.0001217	.0002279	-.0001594	.0001258	-.0000366	-.0000476	.0002677	-5.02e-06	.0075457	.001758	-.0004693
4.30e-08	-2.38e-08	-3.26e-07	1.75e-07	-2.52e-08	-8.74e-06	.000049	-3.40e-06	-1.13e-06	.0000395	2.71e-06	.0000106	-1.86e-06	6.79e-07	-5.02e-06	2.67e-06	-.0052172	.0001449	-.0000149
-.000056	.000048	.0006647	-.0003445	.0000508	.0192088	-.0990312	.0057871	.0020911	-.0846672	-.003788	-.0226976	.0040238	-.0008079	.0075457	-.0052172	10.22517	-.316911	.0371388
-.0000951	-8.09e-06	-.0000957	.0000413	-4.51e-06	-.0056357	.009103	.0033105	.000677	.0194113	-.002892	.0053479	-.0004295	.0004075	.001758	.0001449	-.316911	.0909159	-.0183534
.0000315	1.62e-06	.0000256	-7.85e-06	1.17e-06	.0012459	-.0023629	-.0005794	-.0002148	-.0044589	.0009627	-.0010849	.0000954	-.0004478	-.0004693	-.0000149	.0371388	-.0183534	.0057666
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
