fe_polembd1vcv1	fe_polembd1vcv2	fe_polembd1vcv3	fe_polembd1vcv4	fe_polembd1vcv5	fe_polembd1vcv6	fe_polembd1vcv7	fe_polembd1vcv8	fe_polembd1vcv9
1.97e-07	-6.45e-07	9.80e-09	1.64e-08	-3.50e-08	1.53e-08	-6.33e-09	-3.72e-08	.0000125
-6.45e-07	.0001262	-1.46e-06	-1.09e-06	3.02e-07	1.25e-06	-6.55e-07	-4.96e-06	.001221
9.80e-09	-1.46e-06	8.79e-07	9.85e-08	-5.37e-08	-2.07e-08	6.89e-09	6.38e-07	-.0000129
1.64e-08	-1.09e-06	9.85e-08	4.92e-08	6.93e-09	8.32e-10	1.74e-09	-4.66e-08	-2.95e-06
-3.50e-08	3.02e-07	-5.37e-08	6.93e-09	8.01e-07	1.52e-07	-1.23e-08	5.70e-07	.0000228
1.53e-08	1.25e-06	-2.07e-08	8.32e-10	1.52e-07	2.88e-07	-3.08e-08	4.62e-08	.0000579
-6.33e-09	-6.55e-07	6.89e-09	1.74e-09	-1.23e-08	-3.08e-08	8.19e-09	2.53e-08	-.0000156
-3.72e-08	-4.96e-06	6.38e-07	-4.66e-08	5.70e-07	4.62e-08	2.53e-08	.0000433	-.0000481
.0000125	.001221	-.0000129	-2.95e-06	.0000228	.0000579	-.0000156	-.0000481	.0297454
								
								
								
								
								
								
								
								
								
								
								
