fe_interact10vcv1	fe_interact10vcv2	fe_interact10vcv3	fe_interact10vcv4	fe_interact10vcv5	fe_interact10vcv6	fe_interact10vcv7	fe_interact10vcv8	fe_interact10vcv9	fe_interact10vcv10	fe_interact10vcv11
.0000565	.0000455	.0000459	2.53e-06	-1.12e-06	6.15e-07	-1.30e-06	2.03e-06	-3.49e-07	.000024	.0006623
.0000455	.0000959	.0000428	.000043	-5.72e-07	-4.31e-07	-5.90e-06	3.27e-06	-4.95e-07	9.87e-06	.0009173
.0000459	.0000428	.0000523	.0000143	-9.91e-07	7.65e-07	-1.31e-06	2.08e-06	-4.85e-07	.0000266	.0009235
2.53e-06	.000043	.0000143	.0014547	-6.31e-06	-.0000188	-2.37e-07	.0000133	-7.22e-06	.0000709	.0133971
-1.12e-06	-5.72e-07	-9.91e-07	-6.31e-06	6.19e-07	2.35e-07	1.89e-07	8.66e-08	3.31e-08	5.47e-07	-.0000629
6.15e-07	-4.31e-07	7.65e-07	-.0000188	2.35e-07	6.14e-07	1.80e-07	5.23e-08	4.73e-08	1.09e-06	-.0000848
-1.30e-06	-5.90e-06	-1.31e-06	-2.37e-07	1.89e-07	1.80e-07	9.63e-06	1.48e-06	-1.11e-07	3.12e-06	.0002071
2.03e-06	3.27e-06	2.08e-06	.0000133	8.66e-08	5.23e-08	1.48e-06	4.14e-06	-3.69e-07	5.12e-06	.0006854
-3.49e-07	-4.95e-07	-4.85e-07	-7.22e-06	3.31e-08	4.73e-08	-1.11e-07	-3.69e-07	8.04e-08	-1.17e-06	-.0001515
.000024	9.87e-06	.0000266	.0000709	5.47e-07	1.09e-06	3.12e-06	5.12e-06	-1.17e-06	.0001939	.0022137
.0006623	.0009173	.0009235	.0133971	-.0000629	-.0000848	.0002071	.0006854	-.0001515	.0022137	.285769
										
										
										
										
										
										
										
										
										
