fe_polemwardur0vcv1	fe_polemwardur0vcv2	fe_polemwardur0vcv3	fe_polemwardur0vcv4	fe_polemwardur0vcv5	fe_polemwardur0vcv6	fe_polemwardur0vcv7	fe_polemwardur0vcv8	fe_polemwardur0vcv9
2.31e-08	-1.02e-07	6.55e-09	7.59e-10	-3.45e-08	-3.73e-10	6.37e-10	-4.62e-08	-1.21e-06
-1.02e-07	.0000231	-4.49e-07	-2.89e-07	5.89e-07	1.89e-07	-1.10e-07	-1.29e-06	.0002048
6.55e-09	-4.49e-07	1.89e-07	8.31e-09	-4.30e-08	-1.84e-08	4.20e-09	2.09e-07	-7.93e-06
7.59e-10	-2.89e-07	8.31e-09	8.81e-09	-1.36e-09	-2.80e-09	1.14e-09	1.38e-08	-2.10e-06
-3.45e-08	5.89e-07	-4.30e-08	-1.36e-09	7.21e-07	3.98e-08	-5.06e-09	-1.73e-07	9.31e-06
-3.73e-10	1.89e-07	-1.84e-08	-2.80e-09	3.98e-08	4.27e-08	-3.52e-09	-7.01e-08	6.49e-06
6.37e-10	-1.10e-07	4.20e-09	1.14e-09	-5.06e-09	-3.52e-09	8.61e-10	1.18e-08	-1.61e-06
-4.62e-08	-1.29e-06	2.09e-07	1.38e-08	-1.73e-07	-7.01e-08	1.18e-08	.000013	-.0000221
-1.21e-06	.0002048	-7.93e-06	-2.10e-06	9.31e-06	6.49e-06	-1.61e-06	-.0000221	.0030275
								
								
								
								
								
								
								
								
								
								
								
