fe_polemwardur5vcv1	fe_polemwardur5vcv2	fe_polemwardur5vcv3	fe_polemwardur5vcv4	fe_polemwardur5vcv5	fe_polemwardur5vcv6	fe_polemwardur5vcv7	fe_polemwardur5vcv8	fe_polemwardur5vcv9
5.65e-07	-5.58e-07	1.24e-08	9.34e-09	-2.54e-07	1.99e-07	-7.31e-09	-3.70e-07	.0000128
-5.58e-07	.0005115	-2.80e-06	-5.60e-06	7.44e-06	4.76e-06	-2.61e-06	.0000165	.0048419
1.24e-08	-2.80e-06	8.05e-07	9.65e-08	-2.76e-07	-1.26e-07	3.77e-08	3.91e-07	-.000072
9.34e-09	-5.60e-06	9.65e-08	1.83e-07	-2.71e-08	1.20e-08	1.60e-08	-3.98e-07	-.000029
-2.54e-07	7.44e-06	-2.76e-07	-2.71e-08	4.74e-06	6.99e-07	-9.85e-08	-3.32e-07	.0001844
1.99e-07	4.76e-06	-1.26e-07	1.20e-08	6.99e-07	1.32e-06	-1.17e-07	3.73e-07	.0002168
-7.31e-09	-2.61e-06	3.77e-08	1.60e-08	-9.85e-08	-1.17e-07	2.58e-08	-5.14e-08	-.0000485
-3.70e-07	.0000165	3.91e-07	-3.98e-07	-3.32e-07	3.73e-07	-5.14e-08	.0000769	.0000901
.0000128	.0048419	-.000072	-.000029	.0001844	.0002168	-.0000485	.0000901	.0912809
								
								
								
								
								
								
								
								
								
								
								
