fe_polem2vcv1	fe_polem2vcv2	fe_polem2vcv3	fe_polem2vcv4	fe_polem2vcv5	fe_polem2vcv6	fe_polem2vcv7	fe_polem2vcv8	fe_polem2vcv9
8.56e-06	9.65e-07	1.06e-07	-1.50e-09	-6.81e-07	1.81e-07	1.04e-09	1.67e-06	-4.86e-06
9.65e-07	.0001398	-2.29e-06	-1.62e-06	8.60e-07	1.70e-06	-7.40e-07	-5.04e-07	.0013748
1.06e-07	-2.29e-06	7.57e-07	7.04e-08	-1.01e-07	-6.99e-08	2.25e-08	1.07e-06	-.0000429
-1.50e-09	-1.62e-06	7.04e-08	5.32e-08	1.32e-08	-8.03e-09	5.85e-09	-8.54e-08	-.0000107
-6.81e-07	8.60e-07	-1.01e-07	1.32e-08	1.19e-06	1.27e-07	-1.65e-08	6.58e-07	.0000311
1.81e-07	1.70e-06	-6.99e-08	-8.03e-09	1.27e-07	3.44e-07	-3.08e-08	-1.39e-07	.000057
1.04e-09	-7.40e-07	2.25e-08	5.85e-09	-1.65e-08	-3.08e-08	6.70e-09	7.44e-08	-.0000126
1.67e-06	-5.04e-07	1.07e-06	-8.54e-08	6.58e-07	-1.39e-07	7.44e-08	.0000728	-.000146
-4.86e-06	.0013748	-.0000429	-.0000107	.0000311	.000057	-.0000126	-.000146	.0236743
								
								
								
								
								
								
								
								
								
								
								
