fe_fertilityexist0vcv1	fe_fertilityexist0vcv2	fe_fertilityexist0vcv3	fe_fertilityexist0vcv4	fe_fertilityexist0vcv5	fe_fertilityexist0vcv6	fe_fertilityexist0vcv7	fe_fertilityexist0vcv8	fe_fertilityexist0vcv9
.0000925	-2.80e-06	-1.35e-06	-9.64e-07	-1.10e-06	5.17e-06	-2.73e-07	-3.55e-06	.0005073
-2.80e-06	5.88e-06	2.33e-07	2.53e-07	-2.09e-07	-1.60e-06	2.79e-07	1.85e-06	-.0005659
-1.35e-06	2.33e-07	2.59e-07	1.52e-07	-1.18e-09	4.63e-08	-1.02e-08	8.96e-08	.0000187
-9.64e-07	2.53e-07	1.52e-07	2.31e-07	6.39e-08	-6.16e-08	-2.64e-08	-7.41e-08	.0000517
-1.10e-06	-2.09e-07	-1.18e-09	6.39e-08	2.11e-06	1.18e-06	-1.33e-07	1.11e-06	.0002548
5.17e-06	-1.60e-06	4.63e-08	-6.16e-08	1.18e-06	4.66e-06	-3.88e-07	1.39e-06	.0007368
-2.73e-07	2.79e-07	-1.02e-08	-2.64e-08	-1.33e-07	-3.88e-07	6.04e-08	1.50e-07	-.0001178
-3.55e-06	1.85e-06	8.96e-08	-7.41e-08	1.11e-06	1.39e-06	1.50e-07	.0001363	-.0003126
.0005073	-.0005659	.0000187	.0000517	.0002548	.0007368	-.0001178	-.0003126	.2301158
								
								
								
								
								
								
								
								
								
								
								
