fe_interact15vcv1	fe_interact15vcv2	fe_interact15vcv3	fe_interact15vcv4	fe_interact15vcv5	fe_interact15vcv6	fe_interact15vcv7	fe_interact15vcv8	fe_interact15vcv9	fe_interact15vcv10	fe_interact15vcv11
.0000786	.0000595	.0000638	.0000803	-1.28e-06	5.30e-08	-6.97e-07	5.65e-06	-1.01e-06	.0000202	.0018983
.0000595	.000122	.0000558	.0001508	-1.68e-06	-2.52e-06	-8.37e-06	7.68e-06	-1.42e-06	-8.88e-07	.0026522
.0000638	.0000558	.0000687	.0000732	-1.51e-06	-1.47e-07	-3.16e-06	3.92e-06	-1.02e-06	.0000124	.0019368
.0000803	.0001508	.0000732	.002023	-.0000107	-.0000245	-1.03e-06	.0000382	-.0000105	.000011	.0194512
-1.28e-06	-1.68e-06	-1.51e-06	-.0000107	6.93e-07	4.21e-07	3.04e-07	2.47e-07	4.09e-08	-4.35e-08	-.0000773
5.30e-08	-2.52e-06	-1.47e-07	-.0000245	4.21e-07	9.18e-07	3.52e-07	-4.15e-07	7.00e-08	-7.07e-07	-.000123
-6.97e-07	-8.37e-06	-3.16e-06	-1.03e-06	3.04e-07	3.52e-07	.0000141	1.63e-06	-1.72e-07	-1.77e-06	.0003242
5.65e-06	7.68e-06	3.92e-06	.0000382	2.47e-07	-4.15e-07	1.63e-06	8.05e-06	-7.75e-07	-7.38e-07	.0014401
-1.01e-06	-1.42e-06	-1.02e-06	-.0000105	4.09e-08	7.00e-08	-1.72e-07	-7.75e-07	1.44e-07	-1.51e-08	-.0002724
.0000202	-8.88e-07	.0000124	.000011	-4.35e-08	-7.07e-07	-1.77e-06	-7.38e-07	-1.51e-08	.0001745	.000029
.0018983	.0026522	.0019368	.0194512	-.0000773	-.000123	.0003242	.0014401	-.0002724	.000029	.5140991
										
										
										
										
										
										
										
										
										
