fe_polembd3vcv1	fe_polembd3vcv2	fe_polembd3vcv3	fe_polembd3vcv4	fe_polembd3vcv5	fe_polembd3vcv6	fe_polembd3vcv7	fe_polembd3vcv8	fe_polembd3vcv9
5.58e-07	-1.63e-06	2.50e-08	5.05e-08	-6.17e-08	2.35e-07	-3.28e-08	-1.27e-06	.0000632
-1.63e-06	.0003915	-2.30e-06	-2.95e-06	5.14e-06	4.33e-06	-2.30e-06	4.69e-06	.0043172
2.50e-08	-2.30e-06	9.69e-07	1.58e-07	-9.48e-08	-1.29e-08	2.19e-08	1.15e-06	-.0000424
5.05e-08	-2.95e-06	1.58e-07	1.31e-07	-2.25e-08	2.85e-08	1.55e-09	-2.29e-07	-1.94e-06
-6.17e-08	5.14e-06	-9.48e-08	-2.25e-08	2.15e-06	4.39e-07	-6.61e-08	-1.06e-07	.0001243
2.35e-07	4.33e-06	-1.29e-08	2.85e-08	4.39e-07	1.16e-06	-1.26e-07	-1.47e-06	.0002366
-3.28e-08	-2.30e-06	2.19e-08	1.55e-09	-6.61e-08	-1.26e-07	3.29e-08	3.35e-07	-.0000629
-1.27e-06	4.69e-06	1.15e-06	-2.29e-07	-1.06e-07	-1.47e-06	3.35e-07	.0000988	-.0006534
.0000632	.0043172	-.0000424	-1.94e-06	.0001243	.0002366	-.0000629	-.0006534	.1200866
								
								
								
								
								
								
								
								
								
								
								
