fe_polemintermed3vcv1	fe_polemintermed3vcv2	fe_polemintermed3vcv3	fe_polemintermed3vcv4	fe_polemintermed3vcv5	fe_polemintermed3vcv6	fe_polemintermed3vcv7	fe_polemintermed3vcv8	fe_polemintermed3vcv9	fe_polemintermed3vcv10	fe_polemintermed3vcv11	fe_polemintermed3vcv12	fe_polemintermed3vcv13	fe_polemintermed3vcv14
.0000124	-2.47e-06	-4.41e-06	-2.37e-06	1.13e-06	4.98e-07	6.99e-07	7.31e-08	-2.10e-08	-1.09e-06	-1.89e-07	-3.66e-08	3.62e-06	.0000293
-2.47e-06	.0002475	-.0000108	4.98e-06	-3.93e-06	-1.02e-08	-7.80e-07	-3.21e-06	-2.92e-06	3.04e-06	2.50e-06	-1.29e-06	.0000145	.0024015
-4.41e-06	-.0000108	.0000192	.0000125	5.04e-07	-3.47e-07	1.26e-06	-7.01e-07	2.07e-07	5.22e-07	3.80e-07	5.63e-08	-1.70e-06	-.0000827
-2.37e-06	4.98e-06	.0000125	.0000345	-2.70e-06	-1.05e-06	5.22e-06	4.72e-07	3.33e-07	6.42e-07	5.13e-07	1.32e-07	8.22e-06	-.0001885
1.13e-06	-3.93e-06	5.04e-07	-2.70e-06	5.95e-06	2.58e-07	3.57e-07	8.19e-08	6.15e-08	-2.05e-07	1.35e-07	-2.98e-08	-2.61e-06	.0000361
4.98e-07	-1.02e-08	-3.47e-07	-1.05e-06	2.58e-07	4.47e-07	-6.15e-07	-7.55e-08	-1.49e-08	-3.37e-07	-4.43e-07	-4.67e-08	-8.54e-08	.0000556
6.99e-07	-7.80e-07	1.26e-06	5.22e-06	3.57e-07	-6.15e-07	.0000235	7.33e-07	8.55e-08	9.24e-08	7.44e-07	1.05e-07	-2.44e-06	-.00016
7.31e-08	-3.21e-06	-7.01e-07	4.72e-07	8.19e-08	-7.55e-08	7.33e-07	7.76e-07	1.19e-07	-5.56e-08	-2.31e-08	3.96e-08	1.11e-06	-.0000699
-2.10e-08	-2.92e-06	2.07e-07	3.33e-07	6.15e-08	-1.49e-08	8.55e-08	1.19e-07	9.89e-08	-1.11e-08	-1.33e-08	1.37e-08	-5.33e-08	-.0000244
-1.09e-06	3.04e-06	5.22e-07	6.42e-07	-2.05e-07	-3.37e-07	9.24e-08	-5.56e-08	-1.11e-08	1.87e-06	5.20e-07	2.13e-09	4.49e-07	.0000204
-1.89e-07	2.50e-06	3.80e-07	5.13e-07	1.35e-07	-4.43e-07	7.44e-07	-2.31e-08	-1.33e-08	5.20e-07	1.05e-06	-6.37e-09	-3.60e-07	.0000427
-3.66e-08	-1.29e-06	5.63e-08	1.32e-07	-2.98e-08	-4.67e-08	1.05e-07	3.96e-08	1.37e-08	2.13e-09	-6.37e-09	1.66e-08	6.14e-08	-.0000279
3.62e-06	.0000145	-1.70e-06	8.22e-06	-2.61e-06	-8.54e-08	-2.44e-06	1.11e-06	-5.33e-08	4.49e-07	-3.60e-07	6.14e-08	.0000735	-.0001219
.0000293	.0024015	-.0000827	-.0001885	.0000361	.0000556	-.00016	-.0000699	-.0000244	.0000204	.0000427	-.0000279	-.0001219	.0484009
													
													
													
													
													
													
